refdate,refdate2,date,team,opponent,win,runs,runs_allowed
 9/ 5, 9/ 5/2012,9/5/2012,WSN,CHC,TRUE,9,1
 9/ 6, 9/ 6/2012,9/6/2012,WSN,CHC,TRUE,9,2
 9/ 7, 9/ 7/2012,9/7/2012,WSN,MIA,FALSE,7,9
 9/ 8, 9/ 8/2012,9/8/2012,WSN,MIA,TRUE,7,6
 9/ 9, 9/ 9/2012,9/9/2012,WSN,MIA,FALSE,0,8
 9/ 10, 9/ 10/2012,9/10/2012,WSN,NYM,TRUE,5,1
 9/ 11, 9/ 11/2012,9/11/2012,WSN,NYM,TRUE,5,3
 9/ 12, 9/ 12/2012,9/12/2012,WSN,NYM,TRUE,2,0
 9/ 14, 9/ 14/2012,9/14/2012,WSN,ATL,FALSE,1,2
 9/ 15, 9/ 15/2012,9/15/2012,WSN,ATL,FALSE,4,5
 9/ 16, 9/ 16/2012,9/16/2012,WSN,ATL,FALSE,1,5
 9/ 19 , 9/ 19 /2012,9/19/2012,WSN,LAD,TRUE,3,1
 9/ 19 , 9/ 19 /2012,9/19/2012,WSN,LAD,FALSE,6,7
 9/ 20, 9/ 20/2012,9/20/2012,WSN,LAD,TRUE,4,1
 9/ 21, 9/ 21/2012,9/21/2012,WSN,MIL,FALSE,2,4
 9/ 22, 9/ 22/2012,9/22/2012,WSN,MIL,TRUE,10,4
 9/ 23, 9/ 23/2012,9/23/2012,WSN,MIL,FALSE,2,6
 9/ 24, 9/ 24/2012,9/24/2012,WSN,MIL,TRUE,12,2
 9/ 25, 9/ 25/2012,9/25/2012,WSN,PHI,FALSE,3,6
 9/ 26, 9/ 26/2012,9/26/2012,WSN,PHI,TRUE,8,4
 9/ 27, 9/ 27/2012,9/27/2012,WSN,PHI,TRUE,7,3
 9/ 28, 9/ 28/2012,9/28/2012,WSN,STL,FALSE,2,12
 9/ 29, 9/ 29/2012,9/29/2012,WSN,STL,TRUE,6,4
 9/ 30, 9/ 30/2012,9/30/2012,WSN,STL,FALSE,4,10
 10/ 1, 10/ 1/2012,10/1/2012,WSN,PHI,FALSE,0,2
 10/ 2, 10/ 2/2013,10/2/2013,WSN,PHI,TRUE,4,2
 10/ 3, 10/ 3/2013,10/3/2013,WSN,PHI,TRUE,5,1
 4/ 1, 4/ 1/2013,4/1/2013,WSN,MIA,TRUE,2,0
 4/ 3, 4/ 3/2013,4/3/2013,WSN,MIA,TRUE,3,0
 4/ 4, 4/ 4/2013,4/4/2013,WSN,MIA,TRUE,6,1
 4/ 5, 4/ 5/2013,4/5/2013,WSN,CIN,FALSE,0,15
 4/ 6, 4/ 6/2013,4/6/2013,WSN,CIN,TRUE,7,6
 4/ 7, 4/ 7/2013,4/7/2013,WSN,CIN,FALSE,3,6
 4/ 9, 4/ 9/2013,4/9/2013,WSN,CHW,TRUE,8,7
 4/ 10, 4/ 10/2013,4/10/2013,WSN,CHW,TRUE,5,2
 4/ 11, 4/ 11/2013,4/11/2013,WSN,CHW,TRUE,7,4
 4/ 12, 4/ 12/2013,4/12/2013,WSN,ATL,FALSE,4,6
 4/ 13, 4/ 13/2013,4/13/2013,WSN,ATL,FALSE,1,3
 4/ 14, 4/ 14/2013,4/14/2013,WSN,ATL,FALSE,0,9
 4/ 15, 4/ 15/2013,4/15/2013,WSN,MIA,TRUE,10,3
 4/ 16, 4/ 16/2013,4/16/2013,WSN,MIA,FALSE,2,8
 4/ 17, 4/ 17/2013,4/17/2013,WSN,MIA,TRUE,6,1
 4/ 19, 4/ 19/2013,4/19/2013,WSN,NYM,FALSE,1,7
 4/ 20, 4/ 20/2013,4/20/2013,WSN,NYM,TRUE,7,6
 4/ 21, 4/ 21/2013,4/21/2013,WSN,NYM,FALSE,0,2
 4/ 22, 4/ 22/2013,4/22/2013,WSN,STL,FALSE,2,3
 4/ 23, 4/ 23/2013,4/23/2013,WSN,STL,FALSE,0,2
 4/ 24, 4/ 24/2013,4/24/2013,WSN,STL,FALSE,2,4
 4/ 25, 4/ 25/2013,4/25/2013,WSN,CIN,TRUE,8,1
 4/ 26, 4/ 26/2013,4/26/2013,WSN,CIN,TRUE,1,0
 4/ 27, 4/ 27/2013,4/27/2013,WSN,CIN,TRUE,6,3
 4/ 28, 4/ 28/2013,4/28/2013,WSN,CIN,FALSE,2,5
 4/ 29, 4/ 29/2013,4/29/2013,WSN,ATL,FALSE,2,3
 4/ 30, 4/ 30/2013,4/30/2013,WSN,ATL,FALSE,1,8
 5/ 1, 5/ 1/2013,5/1/2013,WSN,ATL,TRUE,2,0
 5/ 2, 5/ 2/2013,5/2/2013,WSN,ATL,TRUE,3,1
 5/ 3, 5/ 3/2013,5/3/2013,WSN,PIT,FALSE,1,3
 5/ 4, 5/ 4/2013,5/4/2013,WSN,PIT,TRUE,5,4
 5/ 5, 5/ 5/2013,5/5/2013,WSN,PIT,TRUE,6,2
 5/ 8, 5/ 8/2013,5/8/2013,WSN,DET,TRUE,3,1
 5/ 9, 5/ 9/2013,5/9/2013,WSN,DET,TRUE,5,4
 5/ 10, 5/ 10/2013,5/10/2013,WSN,CHC,TRUE,7,3
 5/ 11, 5/ 11/2013,5/11/2013,WSN,CHC,FALSE,2,8
 5/ 12, 5/ 12/2013,5/12/2013,WSN,CHC,FALSE,1,2
 5/ 13, 5/ 13/2013,5/13/2013,WSN,LAD,TRUE,6,2
 5/ 14, 5/ 14/2013,5/14/2013,WSN,LAD,FALSE,0,2
 5/ 15, 5/ 15/2013,5/15/2013,WSN,LAD,FALSE,1,3
 5/ 16, 5/ 16/2013,5/16/2013,WSN,SDP,TRUE,6,2
 5/ 17, 5/ 17/2013,5/17/2013,WSN,SDP,TRUE,6,5
 5/ 18, 5/ 18/2013,5/18/2013,WSN,SDP,FALSE,1,2
 5/ 19, 5/ 19/2013,5/19/2013,WSN,SDP,FALSE,4,13
 5/ 20, 5/ 20/2013,5/20/2013,WSN,SFG,FALSE,0,8
 5/ 21, 5/ 21/2013,5/21/2013,WSN,SFG,FALSE,2,4
 5/ 22, 5/ 22/2013,5/22/2013,WSN,SFG,TRUE,2,1
 5/ 24, 5/ 24/2013,5/24/2013,WSN,PHI,TRUE,5,2
 5/ 25, 5/ 25/2013,5/25/2013,WSN,PHI,FALSE,3,5
 5/ 26, 5/ 26/2013,5/26/2013,WSN,PHI,TRUE,6,1
 5/ 27, 5/ 27/2013,5/27/2013,WSN,BAL,FALSE,2,6
 5/ 28, 5/ 28/2013,5/28/2013,WSN,BAL,TRUE,9,3
 5/ 29, 5/ 29/2013,5/29/2013,WSN,BAL,FALSE,6,9
 5/ 30, 5/ 30/2013,5/30/2013,WSN,BAL,FALSE,0,2
 5/ 31, 5/ 31/2013,5/31/2013,WSN,ATL,TRUE,3,2
 6/ 1, 6/ 1/2013,6/1/2013,WSN,ATL,FALSE,1,2
 6/ 2, 6/ 2/2013,6/2/2013,WSN,ATL,FALSE,3,6
 6/ 4, 6/ 4/2013,6/4/2013,WSN,NYM,TRUE,3,2
 6/ 5, 6/ 5/2013,6/5/2013,WSN,NYM,FALSE,1,10
 6/ 8, 6/ 8/2013,6/8/2013,WSN,MIN,FALSE,3,4
 6/ 9 , 6/ 9 /2013,6/9/2013,WSN,MIN,TRUE,7,0
 6/ 9 , 6/ 9 /2013,6/9/2013,WSN,MIN,TRUE,5,4
 6/ 11, 6/ 11/2013,6/11/2013,WSN,COL,FALSE,3,8
 6/ 12, 6/ 12/2013,6/12/2013,WSN,COL,TRUE,5,1
 6/ 13, 6/ 13/2013,6/13/2013,WSN,COL,TRUE,5,4
 6/ 14, 6/ 14/2013,6/14/2013,WSN,CLE,FALSE,1,2
 6/ 15, 6/ 15/2013,6/15/2013,WSN,CLE,TRUE,7,6
 6/ 16, 6/ 16/2013,6/16/2013,WSN,CLE,FALSE,0,2
 6/ 17, 6/ 17/2013,6/17/2013,WSN,PHI,FALSE,4,5
 6/ 18, 6/ 18/2013,6/18/2013,WSN,PHI,FALSE,2,4
 6/ 19, 6/ 19/2013,6/19/2013,WSN,PHI,TRUE,6,2
 6/ 20, 6/ 20/2013,6/20/2013,WSN,COL,TRUE,5,1
 6/ 21, 6/ 21/2013,6/21/2013,WSN,COL,TRUE,2,1
 6/ 22, 6/ 22/2013,6/22/2013,WSN,COL,FALSE,1,7
 6/ 23, 6/ 23/2013,6/23/2013,WSN,COL,FALSE,6,7
 6/ 25, 6/ 25/2013,6/25/2013,WSN,ARI,TRUE,7,5
 6/ 26, 6/ 26/2013,6/26/2013,WSN,ARI,TRUE,3,2
 6/ 27, 6/ 27/2013,6/27/2013,WSN,ARI,FALSE,2,3
 6/ 28, 6/ 28/2013,6/28/2013,WSN,NYM,TRUE,6,4
 6/ 29, 6/ 29/2013,6/29/2013,WSN,NYM,FALSE,1,5
 6/ 30, 6/ 30/2013,6/30/2013,WSN,NYM,TRUE,13,2
 7/ 1, 7/ 1/2013,7/1/2013,WSN,MIL,TRUE,10,5
 7/ 2, 7/ 2/2013,7/2/2013,WSN,MIL,FALSE,0,4
 7/ 3, 7/ 3/2013,7/3/2013,WSN,MIL,FALSE,1,4
 7/ 4, 7/ 4/2013,7/4/2013,WSN,MIL,TRUE,8,5
 7/ 5, 7/ 5/2013,7/5/2013,WSN,SDP,TRUE,8,5
 7/ 6, 7/ 6/2013,7/6/2013,WSN,SDP,TRUE,5,4
 7/ 7, 7/ 7/2013,7/7/2013,WSN,SDP,TRUE,11,7
 7/ 8, 7/ 8/2013,7/8/2013,WSN,PHI,FALSE,2,3
 7/ 9, 7/ 9/2013,7/9/2013,WSN,PHI,FALSE,2,4
 7/ 10, 7/ 10/2013,7/10/2013,WSN,PHI,TRUE,5,1
 7/ 11, 7/ 11/2013,7/11/2013,WSN,PHI,FALSE,1,3
 7/ 12, 7/ 12/2013,7/12/2013,WSN,MIA,FALSE,3,8
 7/ 13, 7/ 13/2013,7/13/2013,WSN,MIA,FALSE,1,2
 7/ 14, 7/ 14/2013,7/14/2013,WSN,MIA,TRUE,5,2
 7/ 19, 7/ 19/2013,7/19/2013,WSN,LAD,FALSE,2,3
 7/ 20, 7/ 20/2013,7/20/2013,WSN,LAD,FALSE,1,3
 7/ 21, 7/ 21/2013,7/21/2013,WSN,LAD,FALSE,2,9
 7/ 22, 7/ 22/2013,7/22/2013,WSN,PIT,FALSE,5,6
 7/ 23, 7/ 23/2013,7/23/2013,WSN,PIT,FALSE,1,5
 7/ 24, 7/ 24/2013,7/24/2013,WSN,PIT,FALSE,2,4
 7/ 25, 7/ 25/2013,7/25/2013,WSN,PIT,TRUE,9,7
 7/ 26 , 7/ 26 /2013,7/26/2013,WSN,NYM,FALSE,0,11
 7/ 26 , 7/ 26 /2013,7/26/2013,WSN,NYM,TRUE,2,1
 7/ 27, 7/ 27/2013,7/27/2013,WSN,NYM,TRUE,4,1
 7/ 28, 7/ 28/2013,7/28/2013,WSN,NYM,TRUE,14,1
 7/ 30, 7/ 30/2013,7/30/2013,WSN,DET,FALSE,1,5
 7/ 31, 7/ 31/2013,7/31/2013,WSN,DET,FALSE,1,11
 8/ 2, 8/ 2/2013,8/2/2013,WSN,MIL,TRUE,4,1
 8/ 3, 8/ 3/2013,8/3/2013,WSN,MIL,TRUE,3,0
 8/ 4, 8/ 4/2013,8/4/2013,WSN,MIL,FALSE,5,8
 8/ 5, 8/ 5/2013,8/5/2013,WSN,ATL,FALSE,2,3
 8/ 6, 8/ 6/2013,8/6/2013,WSN,ATL,FALSE,1,2
 8/ 7, 8/ 7/2013,8/7/2013,WSN,ATL,FALSE,3,6
 8/ 9, 8/ 9/2013,8/9/2013,WSN,PHI,TRUE,9,2
 8/ 10, 8/ 10/2013,8/10/2013,WSN,PHI,TRUE,8,5
 8/ 11, 8/ 11/2013,8/11/2013,WSN,PHI,TRUE,6,0
 8/ 13, 8/ 13/2013,8/13/2013,WSN,SFG,TRUE,4,2
 8/ 14, 8/ 14/2013,8/14/2013,WSN,SFG,TRUE,6,5
 8/ 15, 8/ 15/2013,8/15/2013,WSN,SFG,FALSE,3,4
 8/ 16, 8/ 16/2013,8/16/2013,WSN,ATL,FALSE,2,3
 8/ 17, 8/ 17/2013,8/17/2013,WSN,ATL,TRUE,8,7
 8/ 18, 8/ 18/2013,8/18/2013,WSN,ATL,FALSE,1,2
 8/ 19, 8/ 19/2013,8/19/2013,WSN,CHC,FALSE,1,11
 8/ 20, 8/ 20/2013,8/20/2013,WSN,CHC,TRUE,4,2
 8/ 21, 8/ 21/2013,8/21/2013,WSN,CHC,TRUE,11,6
 8/ 22, 8/ 22/2013,8/22/2013,WSN,CHC,TRUE,5,4
 8/ 23, 8/ 23/2013,8/23/2013,WSN,KCR,TRUE,11,10
 8/ 24, 8/ 24/2013,8/24/2013,WSN,KCR,TRUE,7,2
 8/ 25, 8/ 25/2013,8/25/2013,WSN,KCR,FALSE,4,6
 8/ 27, 8/ 27/2013,8/27/2013,WSN,MIA,TRUE,2,1
 8/ 28, 8/ 28/2013,8/28/2013,WSN,MIA,TRUE,4,3
 8/ 29, 8/ 29/2013,8/29/2013,WSN,MIA,TRUE,9,0
 8/ 30, 8/ 30/2013,8/30/2013,WSN,NYM,FALSE,2,3
 8/ 31, 8/ 31/2013,8/31/2013,WSN,NYM,FALSE,3,11
 9/ 1, 9/ 1/2013,9/1/2013,WSN,NYM,TRUE,6,5
 9/ 2, 9/ 2/2013,9/2/2013,WSN,PHI,FALSE,2,3
 9/ 3, 9/ 3/2013,9/3/2013,WSN,PHI,TRUE,9,6
 9/ 4, 9/ 4/2013,9/4/2013,WSN,PHI,TRUE,3,2
 9/ 6, 9/ 6/2013,9/6/2013,WSN,MIA,FALSE,0,7
 9/ 7, 9/ 7/2013,9/7/2013,WSN,MIA,TRUE,9,2
 9/ 8, 9/ 8/2013,9/8/2013,WSN,MIA,TRUE,6,4
 9/ 9, 9/ 9/2013,9/9/2013,WSN,NYM,TRUE,9,0
 9/ 10, 9/ 10/2013,9/10/2013,WSN,NYM,TRUE,6,3
 9/ 11, 9/ 11/2013,9/11/2013,WSN,NYM,TRUE,3,0
 9/ 12, 9/ 12/2013,9/12/2013,WSN,NYM,TRUE,7,2
 9/ 13, 9/ 13/2013,9/13/2013,WSN,PHI,TRUE,6,1
 9/ 14, 9/ 14/2013,9/14/2013,WSN,PHI,FALSE,4,5
 9/ 15, 9/ 15/2013,9/15/2013,WSN,PHI,TRUE,11,2
 9/ 17 , 9/ 17 /2013,9/17/2013,WSN,ATL,TRUE,6,5
 9/ 17 , 9/ 17 /2013,9/17/2013,WSN,ATL,TRUE,4,0
 9/ 18, 9/ 18/2013,9/18/2013,WSN,ATL,FALSE,2,5
 9/ 19, 9/ 19/2013,9/19/2013,WSN,MIA,TRUE,3,2
 9/ 20, 9/ 20/2013,9/20/2013,WSN,MIA,TRUE,8,0
 9/ 22 , 9/ 22 /2013,9/22/2013,WSN,MIA,FALSE,2,4
 9/ 22 , 9/ 22 /2013,9/22/2013,WSN,MIA,TRUE,5,4
 9/ 23, 9/ 23/2013,9/23/2013,WSN,STL,FALSE,3,4
 9/ 24, 9/ 24/2013,9/24/2013,WSN,STL,FALSE,0,2
 9/ 25, 9/ 25/2013,9/25/2013,WSN,STL,FALSE,1,4
 9/ 27, 9/ 27/2013,9/27/2013,WSN,ARI,TRUE,8,4
 9/ 28, 9/ 28/2014,9/28/2014,WSN,ARI,TRUE,2,0
 9/ 29, 9/ 29/2014,9/29/2014,WSN,ARI,FALSE,2,3
31-Mar,3/31/14,40267,WSN,NYM,TRUE,9,7
 4/ 2, 4/ 2/2014,4/2/2014,WSN,NYM,TRUE,5,1
 4/ 3, 4/ 3/2014,4/3/2014,WSN,NYM,TRUE,8,2
